dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint-cpitch cpitch.order.stm.cpint-cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint-cpitch cpitch.weight.stm.cpint-cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 probability information.content entropy 
9 1 1 "1" NA 0 0 1 0 NA 0 0 0 NA NA 72 96 4 500000 NA NA 12 0 0 0 0.5 0.5 1.0 1.0 0.038461525 4.7004404 4.700439 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 4.7004404 4.700439 
9 1 2 "1" NA 0 0 1 0 NA 0 12 0 NA NA 66 96 4 500000 NA NA 12 12 0 0 0.96480936 0.035190735 1.0 1.0 0.0018016555 9.116461 2.9793484 6.7889114e-4 9.0687425e-4 6.7889114e-4 0.0013570089 6.7889114e-4 0.0058976915 0.0018016555 0.0018016555 0.054442335 6.7889114e-4 0.06495735 0.010297696 0.18099473 0.24050844 0.0033312407 0.22475868 0.0015799047 0.12283072 0.018301614 0.0013570089 0.038127385 6.7889114e-4 0.01544693 6.7889114e-4 9.0687425e-4 0.0063208845 0.0018016555 9.116461 2.9793484 
9 1 3 "1" NA 0 0 1 0 NA 0 12 0 NA NA 68 96 4 500000 NA NA 12 24 1 0 0.9955368 0.0044631464 1.0 1.0 0.009087935 6.7818317 2.1817355 0.001981839 0.001981839 0.0011413235 0.025719654 7.200963e-4 0.08157124 0.010755005 0.053472873 0.5152182 0.009087935 0.2515684 0.014917935 0.0082538985 0.001561838 0.009504823 0.0024014388 7.200963e-4 7.200963e-4 0.0011413235 0.003239697 7.200963e-4 7.200963e-4 7.200963e-4 7.200963e-4 7.200963e-4 7.200963e-4 0.009087935 6.7818317 2.1817355 
9 1 4 "1" NA 0 0 1 0 NA 0 12 0 NA NA 70 96 4 500000 NA NA 12 36 1 0 0.94439614 0.05560394 1.0 1.0 0.19888058 2.3300257 3.236735 0.0041785524 0.0041785524 0.0041785524 0.0041785524 0.0041785524 0.013640854 0.008987226 0.19551088 0.008987226 0.15706404 0.18932419 0.19888058 0.07289358 0.013640854 0.043303393 0.0041785524 0.030280277 0.0041785524 0.0041785524 0.0041785524 0.0041785524 0.008987226 0.0041785524 0.0041785524 0.0041785524 0.0041785524 0.19888058 2.3300257 3.236735 
9 1 5 "1" NA 0 0 1 0 NA 0 12 0 NA NA 62 96 4 500000 NA NA 12 48 2 0 0.983315 0.016685002 1.0 1.0 8.077417e-4 10.273818 2.653422 8.077417e-4 8.077417e-4 8.077417e-4 8.077417e-4 8.077417e-4 8.077417e-4 0.0016572834 0.06295844 0.0041694925 0.26089716 0.040638003 0.05075586 0.16899024 0.035563562 0.3332913 8.077417e-4 0.018905986 8.077417e-4 0.0033361076 0.005000041 8.077417e-4 8.077417e-4 8.077417e-4 0.0033361076 8.077417e-4 8.077417e-4 8.077417e-4 10.273818 2.653422 
9 1 6 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 60 0 0 0.9615289 0.0384711 1.0 1.0 0.1509935 2.7274418 3.0271342 0.07795443 0.09656873 0.02349753 0.3021097 0.0018161862 0.1509935 0.009264063 0.03668152 0.18079746 0.0010320675 0.029077435 0.0018161862 0.05848336 0.011436033 0.0010320675 0.006334672 0.0010320675 0.0018161862 0.0010320675 0.0010320675 0.0010320675 0.0010320675 0.0010320675 0.0010320675 0.0010320675 0.0010320675 0.1509935 2.7274418 3.0271342 
9 1 7 "1" NA 0 0 1 0 NA 0 12 0 NA NA 69 96 4 500000 NA NA 12 72 1 0 0.973923 0.026076976 1.0 1.0 0.06093204 4.036655 2.8457072 0.0069188224 0.041309282 0.01916701 0.29032996 0.0015505659 0.12466702 0.0385406 0.27620164 0.095804885 0.0015505659 0.06093204 8.7473105e-4 0.004846124 0.021485036 8.7473105e-4 0.0028806734 8.7473105e-4 0.0041938946 8.7473105e-4 8.7473105e-4 8.7473105e-4 8.7473105e-4 8.7473105e-4 8.7473105e-4 8.7473105e-4 8.7473105e-4 0.06093204 4.036655 2.8457072 
9 1 8 "1" NA 0 0 1 0 NA 0 12 0 NA NA 65 96 4 500000 NA NA 12 84 2 0 0.99050355 0.0094964905 1.0 1.0 0.0068911524 7.1810393 2.443627 4.0214736e-4 0.009931867 0.012828683 0.01653882 0.0045805764 0.0064840284 0.0068911524 0.13682038 0.50407934 0.0030175524 0.14230853 0.002880775 0.08699416 0.025069663 5.4135383e-4 0.021388054 4.0214736e-4 0.008049615 0.0043824245 0.0010953317 0.001508908 4.0214736e-4 0.0021958866 4.0214736e-4 4.0214736e-4 4.0214736e-4 0.0068911524 7.1810393 2.443627 
9 1 9 "1" NA 0 0 1 0 NA 0 12 0 NA NA 63 96 4 500000 NA NA 12 96 2 0 0.97554934 0.024450626 1.0 1.0 0.0015147588 9.366696 2.8157914 0.0015147588 0.0015147588 0.0015147588 0.30566496 0.0015147588 0.23728104 0.07379363 0.05320309 0.16839205 0.0015147588 0.043990843 0.018356023 0.0015147588 0.06466289 0.0015147588 0.0039917207 0.0015147588 0.0015147588 0.0015147588 0.0015147588 0.0015147588 0.0015147588 0.006427814 0.0015147588 0.0015147588 0.0015147588 0.0015147588 9.366696 2.8157914 
9 1 10 "1" NA 0 0 1 0 NA 0 12 0 NA NA 71 96 4 500000 NA NA 12 108 0 0 0.83203804 0.1679619 1.0 1.0 0.0753288 3.7306545 4.038487 0.018517464 0.018517464 0.018517464 0.16839504 0.16839504 0.12368565 0.018517464 0.0753288 0.018517464 0.018517464 0.018517464 0.018517464 0.0753288 0.018517464 0.018517464 0.018517464 0.018517464 0.018517464 0.018517464 0.018517464 0.018517464 0.018517464 0.018517464 0.018517464 0.018517464 0.018517464 0.0753288 3.7306545 4.038487 
