dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.stm.cpint-cpitch cpitch.weight.stm.cpint-cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 probability information.content entropy 
9 1 1 "1" NA 0 0 1 0 NA 0 0 0 NA NA 72 96 4 500000 NA NA 12 0 0 1.0 0.038461525 4.7004404 4.700439 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 0.038461525 4.7004404 4.700439 
9 1 2 "1" NA 0 0 1 0 NA 0 12 0 NA NA 66 96 4 500000 NA NA 12 12 0 1.0 0.038461532 4.70044 4.700439 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 4.70044 4.700439 
9 1 3 "1" NA 0 0 1 0 NA 0 12 0 NA NA 68 96 4 500000 NA NA 12 24 0 1.0 0.038461532 4.70044 4.700439 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 4.70044 4.700439 
9 1 4 "1" NA 0 0 1 0 NA 0 12 0 NA NA 70 96 4 500000 NA NA 12 36 0 1.0 0.038461532 4.70044 4.700439 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 4.70044 4.700439 
9 1 5 "1" NA 0 0 1 0 NA 0 12 0 NA NA 62 96 4 500000 NA NA 12 48 0 1.0 0.038461532 4.70044 4.700439 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 4.70044 4.700439 
9 1 6 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 60 0 1.0 0.038461532 4.70044 4.700439 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 4.70044 4.700439 
9 1 7 "1" NA 0 0 1 0 NA 0 12 0 NA NA 69 96 4 500000 NA NA 12 72 0 1.0 0.038461532 4.70044 4.700439 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 4.70044 4.700439 
9 1 8 "1" NA 0 0 1 0 NA 0 12 0 NA NA 65 96 4 500000 NA NA 12 84 0 1.0 0.038461532 4.70044 4.700439 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 4.70044 4.700439 
9 1 9 "1" NA 0 0 1 0 NA 0 12 0 NA NA 63 96 4 500000 NA NA 12 96 0 1.0 0.038461532 4.70044 4.700439 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 4.70044 4.700439 
9 1 10 "1" NA 0 0 1 0 NA 0 12 0 NA NA 71 96 4 500000 NA NA 12 108 0 1.0 0.038461532 4.70044 4.700439 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 0.038461532 4.70044 4.700439 
