dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpitch-class cpitch.order.stm.cpitch-class cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpitch-class cpitch.weight.stm.cpitch-class cpitch.probability cpitch.information.content cpitch.entropy cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.87 cpitch.88 cpitch.89 cpitch.90 cpitch.91 cpitch.93 probability information.content entropy 
8 1 11 "1" NA 0 0 1 0 NA 0 12 0 NA NA 74 96 4 500000 NA NA 12 120 6 1 0.69212806 0.30787194 1.0 1.0 0.05823993 4.1018476 4.6706214 0.018748043 0.045901507 0.0016732208 0.012795495 0.001572777 0.0044303765 0.058773175 0.0036091406 0.05823993 0.0068557193 0.06110132 0.03381764 0.018748043 0.045901507 0.0016732208 0.012795495 0.001572777 0.0044303765 0.058773175 0.0036091406 0.05823993 0.0068557193 0.06110132 0.03381764 0.018748043 0.045901507 0.0016732208 0.012795495 0.001572777 0.0044303765 0.058773175 0.0036091406 0.05823993 0.0068557193 0.06110132 0.03381764 0.018748043 0.045901507 0.012795495 0.05823993 4.1018476 4.6706214 
8 1 12 "1" NA 0 0 1 0 NA 0 12 0 NA NA 72 96 4 500000 NA NA 12 132 6 0 0.78503424 0.21496579 1.0 1.0 0.076589525 3.7067091 4.5103674 0.0060317074 0.0294097 0.0010845829 0.007932515 0.002480862 0.035654325 0.076589525 0.005399407 0.06376264 0.0040350556 0.073853895 0.01264114 0.0060317074 0.0294097 0.0010845829 0.007932515 0.002480862 0.035654325 0.076589525 0.005399407 0.06376264 0.0040350556 0.073853895 0.01264114 0.0060317074 0.0294097 0.0010845829 0.007932515 0.002480862 0.035654325 0.076589525 0.005399407 0.06376264 0.0040350556 0.073853895 0.01264114 0.0060317074 0.0294097 0.007932515 0.076589525 3.7067091 4.5103674 
8 1 13 "1" NA 0 0 1 0 NA 0 12 0 NA NA 71 96 4 500000 NA NA 12 144 6 1 0.70154536 0.29845467 1.0 1.0 0.060842883 4.038768 4.54912 0.002554786 0.02588098 0.0011666607 0.023066904 0.0062690806 0.060842883 0.06428198 0.0030496174 0.060712747 0.0013938816 0.059024118 0.007922184 0.002554786 0.02588098 0.0011666607 0.023066904 0.0062690806 0.060842883 0.06428198 0.0030496174 0.060712747 0.0013938816 0.059024118 0.007922184 0.002554786 0.02588098 0.0011666607 0.023066904 0.0062690806 0.060842883 0.06428198 0.0030496174 0.060712747 0.0013938816 0.059024118 0.007922184 0.002554786 0.02588098 0.023066904 0.060842883 4.038768 4.54912 
8 1 14 "1" NA 0 0 1 0 NA 0 12 0 NA NA 69 96 4 500000 NA NA 12 156 6 0 0.91103786 0.088962086 1.0 1.0 0.06894135 3.858487 3.9023 0.0012592254 0.009603468 0.0014114489 0.06894135 0.0016079936 0.025273928 0.15285382 0.0016567532 0.031598914 0.0014737478 0.00825811 0.002793233 0.0012592254 0.009603468 0.0014114489 0.06894135 0.0016079936 0.025273928 0.15285382 0.0016567532 0.031598914 0.0014737478 0.00825811 0.002793233 0.0012592254 0.009603468 0.0014114489 0.06894135 0.0016079936 0.025273928 0.15285382 0.0016567532 0.031598914 0.0014737478 0.00825811 0.002793233 0.0012592254 0.009603468 0.06894135 0.06894135 3.858487 3.9023 
8 1 15 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 168 6 1 0.7595521 0.24044794 1.0 1.0 0.108331814 3.206471 4.453727 0.009125451 0.108331814 0.0062310942 0.037861843 0.0037203021 0.048040554 0.015459142 0.0016124758 0.020569861 0.0018975388 0.018399598 0.010310576 0.009125451 0.108331814 0.0062310942 0.037861843 0.0037203021 0.048040554 0.015459142 0.0016124758 0.020569861 0.0018975388 0.018399598 0.010310576 0.009125451 0.108331814 0.0062310942 0.037861843 0.0037203021 0.048040554 0.015459142 0.0016124758 0.020569861 0.0018975388 0.018399598 0.010310576 0.009125451 0.108331814 0.037861843 0.108331814 3.206471 4.453727 
8 1 16 "1" NA 0 0 1 0 NA 0 12 0 NA NA 65 96 4 500000 NA NA 12 180 7 2 0.5190998 0.4809003 0.99999994 1.0 0.023824072 5.391436 4.8600307 0.03291914 0.03664941 0.005119586 0.038210686 0.00408447 0.0235898 0.028540904 0.0024701045 0.02400122 0.0032334689 0.07476407 0.023824072 0.03291914 0.03664941 0.005119586 0.038210686 0.00408447 0.0235898 0.028540904 0.0024701045 0.02400122 0.0032334689 0.07476407 0.023824072 0.03291914 0.03664941 0.005119586 0.038210686 0.00408447 0.0235898 0.028540904 0.0024701045 0.02400122 0.0032334689 0.07476407 0.023824072 0.03291914 0.03664941 0.038210686 0.023824072 5.391436 4.8600307 
8 1 17 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 192 7 0 0.9581849 0.041815042 1.0 1.0 0.22194174 2.171747 3.458936 0.0064675217 0.019527527 0.0018846015 0.0042397548 0.0011492223 0.0037144297 0.0023162893 0.0011194441 0.021123715 0.0057752 0.22194174 0.03399563 0.0064675217 0.019527527 0.0018846015 0.0042397548 0.0011492223 0.0037144297 0.0023162893 0.0011194441 0.021123715 0.0057752 0.22194174 0.03399563 0.0064675217 0.019527527 0.0018846015 0.0042397548 0.0011492223 0.0037144297 0.0023162893 0.0011194441 0.021123715 0.0057752 0.22194174 0.03399563 0.0064675217 0.019527527 0.0042397548 0.22194174 2.171747 3.458936 
8 1 18 "1" NA 0 0 1 0 NA 0 12 0 NA NA 72 96 4 500000 NA NA 12 204 9 1 0.83004963 0.16995032 1.0 1.0 0.032038566 4.9640465 4.25809 0.009549709 0.032969933 9.4318384e-4 0.010388186 8.458696e-4 0.002419425 0.032038566 0.0012422168 0.12714767 0.002156369 0.055890493 0.040105734 0.009549709 0.032969933 9.4318384e-4 0.010388186 8.458696e-4 0.002419425 0.032038566 0.0012422168 0.12714767 0.002156369 0.055890493 0.040105734 0.009549709 0.032969933 9.4318384e-4 0.010388186 8.458696e-4 0.002419425 0.032038566 0.0012422168 0.12714767 0.002156369 0.055890493 0.040105734 0.009549709 0.032969933 0.010388186 0.032038566 4.9640465 4.25809 
8 1 19 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 216 8 1 0.7080059 0.2919941 1.0 1.0 0.033861775 4.8841987 4.579707 0.0030156488 0.033861775 9.3331735e-4 0.026027005 0.0035104 0.05720762 0.06334605 0.0025289797 0.053958196 0.001043429 0.05605028 0.010882504 0.0030156488 0.033861775 9.3331735e-4 0.026027005 0.0035104 0.05720762 0.06334605 0.0025289797 0.053958196 0.001043429 0.05605028 0.010882504 0.0030156488 0.033861775 9.3331735e-4 0.026027005 0.0035104 0.05720762 0.06334605 0.0025289797 0.053958196 0.001043429 0.05605028 0.010882504 0.0030156488 0.033861775 0.026027005 0.033861775 4.8841987 4.579707 
8 1 20 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 228 6 1 0.9150546 0.08494535 1.0 1.0 0.18218328 2.4565375 3.826885 0.0022312107 0.05125137 0.0023869004 0.015584692 0.0026971188 0.003973115 0.022364391 0.0022304042 0.0071777334 0.0023177033 0.18218328 0.015913036 0.0022312107 0.05125137 0.0023869004 0.015584692 0.0026971188 0.003973115 0.022364391 0.0022304042 0.0071777334 0.0023177033 0.18218328 0.015913036 0.0022312107 0.05125137 0.0023869004 0.015584692 0.0026971188 0.003973115 0.022364391 0.0022304042 0.0071777334 0.0023177033 0.18218328 0.015913036 0.0022312107 0.05125137 0.015584692 0.18218328 2.4565375 3.826885 
8 1 21 "1" NA 0 0 1 0 NA 0 12 0 NA NA 63 96 4 500000 NA NA 12 240 8 2 0.6863301 0.31366998 1.0 1.0 0.0049836626 7.6485777 4.4830894 0.0146847665 0.032940663 0.0015662399 0.011379147 0.0014729818 0.0045092166 0.046014566 0.0031892275 0.11071822 0.0049836626 0.048071068 0.03413544 0.0146847665 0.032940663 0.0015662399 0.011379147 0.0014729818 0.0045092166 0.046014566 0.0031892275 0.11071822 0.0049836626 0.048071068 0.03413544 0.0146847665 0.032940663 0.0015662399 0.011379147 0.0014729818 0.0045092166 0.046014566 0.0031892275 0.11071822 0.0049836626 0.048071068 0.03413544 0.0146847665 0.032940663 0.011379147 0.0049836626 7.6485777 4.4830894 
8 1 22 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 252 3 1 0.789997 0.21000302 0.99999994 1.0 0.14552395 2.7806716 4.2353125 0.042074036 0.0028244252 0.0034366776 0.001588423 0.0036855133 0.028946947 0.0036900912 0.035283115 0.009321591 0.025416104 0.14552395 0.016046809 0.042074036 0.0028244252 0.0034366776 0.001588423 0.0036855133 0.028946947 0.0036900912 0.035283115 0.009321591 0.025416104 0.14552395 0.016046809 0.042074036 0.0028244252 0.0034366776 0.001588423 0.0036855133 0.028946947 0.0036900912 0.035283115 0.009321591 0.025416104 0.14552395 0.016046809 0.042074036 0.0028244252 0.001588423 0.14552395 2.7806716 4.2353125 
8 1 23 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 264 4 2 0.7074634 0.29253662 1.0 1.0 0.039364494 4.666961 4.6834655 0.073029004 0.039364494 7.767632e-4 0.020538794 6.7707174e-4 0.0022396597 0.023029309 0.005852751 0.04323973 0.012730832 0.051855605 0.015688602 0.073029004 0.039364494 7.767632e-4 0.020538794 6.7707174e-4 0.0022396597 0.023029309 0.005852751 0.04323973 0.012730832 0.051855605 0.015688602 0.073029004 0.039364494 7.767632e-4 0.020538794 6.7707174e-4 0.0022396597 0.023029309 0.005852751 0.04323973 0.012730832 0.051855605 0.015688602 0.073029004 0.039364494 0.020538794 0.039364494 4.666961 4.6834655 
8 1 24 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 276 4 2 0.6367738 0.36322615 1.0 1.0 0.040042393 4.6423283 4.6853237 0.08144967 0.037488062 0.00302355 0.027248815 0.002042349 0.014465772 0.025922507 0.0012137213 0.01691546 0.0014945077 0.040042393 0.03329767 0.08144967 0.037488062 0.00302355 0.027248815 0.002042349 0.014465772 0.025922507 0.0012137213 0.01691546 0.0014945077 0.040042393 0.03329767 0.08144967 0.037488062 0.00302355 0.027248815 0.002042349 0.014465772 0.025922507 0.0012137213 0.01691546 0.0014945077 0.040042393 0.03329767 0.08144967 0.037488062 0.027248815 0.040042393 4.6423283 4.6853237 
8 1 25 "1" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 288 4 2 0.66313803 0.33686197 1.0 1.0 0.059460714 4.0719194 4.5456686 0.014263965 0.034762733 0.0016205644 0.0107175745 0.0015272369 0.0045711324 0.059460714 0.003221498 0.09612859 0.0076338165 0.046375737 0.033134975 0.014263965 0.034762733 0.0016205644 0.0107175745 0.0015272369 0.0045711324 0.059460714 0.003221498 0.09612859 0.0076338165 0.046375737 0.033134975 0.014263965 0.034762733 0.0016205644 0.0107175745 0.0015272369 0.0045711324 0.059460714 0.003221498 0.09612859 0.0076338165 0.046375737 0.033134975 0.014263965 0.034762733 0.0107175745 0.059460714 4.0719194 4.5456686 
8 1 26 "1" NA 0 0 1 0 NA 0 12 0 NA NA 59 96 4 500000 NA NA 12 300 5 2 0.6605566 0.3394434 1.0 1.0 0.047775045 4.387599 4.5864244 0.0025761714 0.059816454 9.335336e-4 0.023107292 0.0032129188 0.047775045 0.05336715 0.0027876305 0.04793595 0.0010819313 0.05084917 0.011390106 0.0025761714 0.059816454 9.335336e-4 0.023107292 0.0032129188 0.047775045 0.05336715 0.0027876305 0.04793595 0.0010819313 0.05084917 0.011390106 0.0025761714 0.059816454 9.335336e-4 0.023107292 0.0032129188 0.047775045 0.05336715 0.0027876305 0.04793595 0.0010819313 0.05084917 0.011390106 0.0025761714 0.059816454 0.023107292 0.047775045 4.387599 4.5864244 
8 1 27 "1" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 312 5 1 0.8230628 0.17693722 0.99999994 1.0 0.07318813 3.7722464 4.2236085 0.0020767734 0.01361596 0.0022721887 0.10744554 0.002556207 0.023634428 0.07318813 0.0022721887 0.044731822 0.0024613664 0.007357296 0.010675365 0.0020767734 0.01361596 0.0022721887 0.10744554 0.002556207 0.023634428 0.07318813 0.0022721887 0.044731822 0.0024613664 0.007357296 0.010675365 0.0020767734 0.01361596 0.0022721887 0.10744554 0.002556207 0.023634428 0.07318813 0.0022721887 0.044731822 0.0024613664 0.007357296 0.010675365 0.0020767734 0.01361596 0.10744554 0.07318813 3.7722464 4.2236085 
8 1 28 "1" NA 0 0 1 0 NA 0 12 0 NA NA 62 96 4 500000 NA NA 12 324 5 1 0.69709265 0.30290732 1.0 1.0 0.07813369 3.6779115 4.6861305 0.006012017 0.035701055 0.00344664 0.023971979 0.0039650253 0.05901787 0.037408043 0.0038240277 0.07813369 0.0031385038 0.043512203 0.013307245 0.006012017 0.035701055 0.00344664 0.023971979 0.0039650253 0.05901787 0.037408043 0.0038240277 0.07813369 0.0031385038 0.043512203 0.013307245 0.006012017 0.035701055 0.00344664 0.023971979 0.0039650253 0.05901787 0.037408043 0.0038240277 0.07813369 0.0031385038 0.043512203 0.013307245 0.006012017 0.035701055 0.023971979 0.07813369 3.6779115 4.6861305 
8 1 29 "1" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 336 6 1 0.7887442 0.21125577 1.0 1.0 0.074397124 3.748609 4.297514 0.00255037 0.022245701 0.0039672116 0.007133244 0.0030526365 0.03527441 0.074397124 0.002985556 0.047874834 0.0032317252 0.113207415 0.006769986 0.00255037 0.022245701 0.0039672116 0.007133244 0.0030526365 0.03527441 0.074397124 0.002985556 0.047874834 0.0032317252 0.113207415 0.006769986 0.00255037 0.022245701 0.0039672116 0.007133244 0.0030526365 0.03527441 0.074397124 0.002985556 0.047874834 0.0032317252 0.113207415 0.006769986 0.00255037 0.022245701 0.007133244 0.074397124 3.748609 4.297514 
8 1 30 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 348 6 2 0.646582 0.353418 1.0 1.0 0.039272368 4.6703415 4.4298344 0.0024214848 0.025319625 0.0011903549 0.01752213 0.006001582 0.10365262 0.05400528 0.002885914 0.05666677 0.0014176691 0.039272368 0.007889747 0.0024214848 0.025319625 0.0011903549 0.01752213 0.006001582 0.10365262 0.05400528 0.002885914 0.05666677 0.0014176691 0.039272368 0.007889747 0.0024214848 0.025319625 0.0011903549 0.01752213 0.006001582 0.10365262 0.05400528 0.002885914 0.05666677 0.0014176691 0.039272368 0.007889747 0.0024214848 0.025319625 0.01752213 0.039272368 4.6703415 4.4298344 
8 1 31 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 360 6 2 0.5963339 0.40366614 1.0 1.0 0.05092769 4.295406 4.6171618 0.013441937 0.05092769 0.0017424795 0.0105506135 0.0015519735 0.004875858 0.05072689 0.0026344024 0.08161633 0.011652368 0.046859015 0.031780366 0.013441937 0.05092769 0.0017424795 0.0105506135 0.0015519735 0.004875858 0.05072689 0.0026344024 0.08161633 0.011652368 0.046859015 0.031780366 0.013441937 0.05092769 0.0017424795 0.0105506135 0.0015519735 0.004875858 0.05072689 0.0026344024 0.08161633 0.011652368 0.046859015 0.031780366 0.013441937 0.05092769 0.0105506135 0.05092769 4.295406 4.6171618 
8 1 32 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 372 6 2 0.5643078 0.43569222 1.0 1.0 0.081427224 3.618345 4.762787 0.03372365 0.037603635 0.003461256 0.031306557 0.002444764 0.015680702 0.03046969 0.0015415102 0.021037681 0.0020022239 0.081427224 0.038423143 0.03372365 0.037603635 0.003461256 0.031306557 0.002444764 0.015680702 0.03046969 0.0015415102 0.021037681 0.0020022239 0.081427224 0.038423143 0.03372365 0.037603635 0.003461256 0.031306557 0.002444764 0.015680702 0.03046969 0.0015415102 0.021037681 0.0020022239 0.081427224 0.038423143 0.03372365 0.037603635 0.031306557 0.081427224 3.618345 4.762787 
8 2 1 "2" NA 0 0 1 0 NA 0 0 0 NA NA 79 96 4 500000 NA NA 12 0 0 0 0.59627277 0.4037272 1.0 1.0 0.03452904 4.856046 5.157817 0.018761339 0.03452904 0.014537227 0.024179712 0.014888035 0.030993553 0.037954055 0.013335526 0.041488364 0.010029141 0.04058945 0.02622455 0.018761339 0.03452904 0.014537227 0.024179712 0.014888035 0.030993553 0.037954055 0.013335526 0.041488364 0.010029141 0.04058945 0.02622455 0.018761339 0.03452904 0.014537227 0.024179712 0.014888035 0.030993553 0.037954055 0.013335526 0.041488364 0.010029141 0.04058945 0.02622455 0.018761339 0.03452904 0.024179712 0.03452904 4.856046 5.157817 
8 2 2 "2" NA 0 0 1 0 NA 0 12 0 NA NA 76 96 4 500000 NA NA 12 12 1 0 0.5535226 0.44647747 0.99999994 1.0 0.0317781 4.9758234 4.7568884 0.021481989 0.08867382 0.0062147337 0.026925685 0.004356381 0.020583363 0.028519263 0.0028570187 0.022785986 0.0029682363 0.0317781 0.030494949 0.021481989 0.08867382 0.0062147337 0.026925685 0.004356381 0.020583363 0.028519263 0.0028570187 0.022785986 0.0029682363 0.0317781 0.030494949 0.021481989 0.08867382 0.0062147337 0.026925685 0.004356381 0.020583363 0.028519263 0.0028570187 0.022785986 0.0029682363 0.0317781 0.030494949 0.021481989 0.08867382 0.026925685 0.0317781 4.9758234 4.7568884 
8 2 3 "2" NA 0 0 1 0 NA 0 12 0 NA NA 77 96 4 500000 NA NA 12 24 2 0 0.691334 0.30866596 1.0 1.0 0.037991215 4.71819 4.6128955 0.016393317 0.04534747 0.00199341 0.011542918 0.0018738786 0.005013801 0.035676435 0.004080144 0.06646085 0.0046363357 0.077895656 0.037991215 0.016393317 0.04534747 0.00199341 0.011542918 0.0018738786 0.005013801 0.035676435 0.004080144 0.06646085 0.0046363357 0.077895656 0.037991215 0.016393317 0.04534747 0.00199341 0.011542918 0.0018738786 0.005013801 0.035676435 0.004080144 0.06646085 0.0046363357 0.077895656 0.037991215 0.016393317 0.04534747 0.011542918 0.037991215 4.71819 4.6128955 
8 2 4 "2" NA 0 0 1 0 NA 0 12 0 NA NA 74 96 4 500000 NA NA 12 36 3 0 0.7791488 0.22085118 1.0 1.0 0.044716895 4.4830365 4.3536506 0.007767017 0.0836407 0.0031762123 0.013132138 0.0019745931 0.003263093 0.0047791693 0.0019328864 0.044716895 0.0070677525 0.08576228 0.041273963 0.007767017 0.0836407 0.0031762123 0.013132138 0.0019745931 0.003263093 0.0047791693 0.0019328864 0.044716895 0.0070677525 0.08576228 0.041273963 0.007767017 0.0836407 0.0031762123 0.013132138 0.0019745931 0.003263093 0.0047791693 0.0019328864 0.044716895 0.0070677525 0.08576228 0.041273963 0.007767017 0.0836407 0.013132138 0.044716895 4.4830365 4.3536506 
