dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpcint-cpitch-class cpitch.order.stm.cpcint-cpitch-class cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpcint-cpitch-class cpitch.weight.stm.cpcint-cpitch-class cpitch.probability cpitch.information.content cpitch.entropy cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.87 cpitch.88 cpitch.89 cpitch.90 cpitch.91 cpitch.93 probability information.content entropy 
8 1 11 "1" NA 0 0 1 0 NA 0 12 0 NA NA 74 96 4 500000 NA NA 12 120 3 0 0.8393738 0.16062616 1.0 1.0 0.1253102 2.9964242 3.9299974 5.042332e-4 0.0033213682 5.7625695e-4 0.0030650669 3.535778e-4 0.0025393937 0.06625009 0.0017648458 0.1253102 0.0038685491 0.06027751 7.071556e-4 5.042332e-4 0.0033213682 5.7625695e-4 0.0030650669 3.535778e-4 0.0025393937 0.06625009 0.0017648458 0.1253102 0.0038685491 0.06027751 0.10805831 0.020594833 0.055388078 0.0010084664 0.0101671945 0.0010084664 0.0027061685 0.0076462543 7.071556e-4 0.0011525139 7.071556e-4 0.06027751 0.10805831 0.020594833 0.055388078 0.0101671945 0.1253102 2.9964242 3.9299974 
8 1 12 "1" NA 0 0 1 0 NA 0 12 0 NA NA 72 96 4 500000 NA NA 12 132 4 0 0.979649 0.020351019 1.0 1.0 0.29354945 1.7683246 3.0378203 2.6131916e-4 0.012425464 8.435626e-5 0.0026013504 2.6131916e-4 0.015679456 0.29354945 0.0028276283 0.033013023 1.2133697e-4 1.9229103e-4 1.4506507e-4 2.6131916e-4 0.012425464 8.435626e-5 0.0026013504 2.6131916e-4 0.015679456 0.29354945 0.0028276283 0.033013023 6.468871e-4 0.09300357 0.0058399523 0.0017848066 0.0158777 1.2133697e-4 0.0026189396 1.4506507e-4 0.0037335255 0.001456527 1.2133697e-4 0.033013023 6.468871e-4 0.09300357 0.0058399523 0.0017848066 0.0158777 0.0026189396 0.29354945 1.7683246 3.0378203 
8 1 13 "1" NA 0 0 1 0 NA 0 12 0 NA NA 71 96 4 500000 NA NA 12 144 5 0 0.7597026 0.24029732 1.0 1.0 0.08698931 3.5230181 4.18951 0.0011930721 0.05065756 4.7800704e-4 0.030634502 0.005790906 0.08698931 0.08491991 9.560141e-4 0.0023861441 9.560141e-4 0.016061872 0.0029124583 0.0011930721 0.05065756 4.7800704e-4 0.030634502 0.005790906 0.08698931 0.08491991 0.003039833 0.0717931 0.0010070334 0.072827786 0.007929787 8.093336e-4 0.018868843 9.560141e-4 0.007414081 9.560141e-4 0.0011895441 0.08491991 0.003039833 0.0717931 0.0010070334 0.072827786 0.007929787 8.093336e-4 0.018868843 0.007414081 0.08698931 3.5230181 4.18951 
8 1 14 "1" NA 0 0 1 0 NA 0 12 0 NA NA 69 96 4 500000 NA NA 12 156 4 0 0.91857636 0.081423715 1.0 1.0 0.1646845 2.6022232 3.8435698 0.0019953814 0.027197268 0.005010981 0.1646845 0.012180752 0.03439844 0.0015737573 0.0019208543 0.0045303595 0.0015013266 0.0041441005 0.0022678298 0.0019953814 0.027197268 0.005010981 0.1646845 0.012180752 0.03439844 0.1416037 0.00594967 0.044530317 0.001503154 0.015395023 0.003078652 0.0013872472 0.012065129 0.0015013266 0.0024568583 0.001287751 0.03439844 0.1416037 0.00594967 0.044530317 0.001503154 0.015395023 0.003078652 0.0013872472 0.012065129 0.0024568583 0.1646845 2.6022232 3.8435698 
8 1 15 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 168 5 0 0.8658871 0.13411297 1.0 1.0 0.2628083 1.9279172 3.548755 0.01077317 0.2628083 0.007810889 0.032897282 7.285944e-4 0.0012120571 0.0038556661 0.0010945376 0.012987247 0.001327834 0.01193804 0.013910316 0.01077317 0.2628083 0.007810889 0.032897282 0.00240911 0.06729582 0.013548283 4.2659702e-4 0.022397216 3.642972e-4 0.013785466 0.0034261113 0.0013205163 0.0039481735 7.285944e-4 0.032897282 0.00240911 0.06729582 0.013548283 4.2659702e-4 0.022397216 3.642972e-4 0.013785466 0.0034261113 0.0013205163 0.0039481735 0.032897282 0.2628083 1.9279172 3.548755 
8 1 16 "1" NA 0 0 1 0 NA 0 12 0 NA NA 65 96 4 500000 NA NA 12 180 6 1 0.47959706 0.52040297 1.0 1.0 0.06491446 3.9453163 4.6377563 0.07831954 0.025593728 0.003951968 0.006475437 0.003951968 0.01826893 0.021650359 0.00464404 0.03699162 0.00431309 0.051587597 0.06491446 0.07831954 0.025593728 0.0059618424 0.057783082 0.0062955488 0.021619245 0.027627386 0.0019759838 0.01910775 0.00232202 0.078073844 0.009984415 0.00247559 0.025593728 0.0059618424 0.057783082 0.0062955488 0.021619245 0.027627386 0.0019759838 0.01910775 0.00232202 0.078073844 0.009984415 0.00247559 0.025593728 0.057783082 0.06491446 3.9453163 4.6377563 
8 1 17 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 192 5 0 0.9979908 0.0020092567 0.99999994 1.0 0.6729653 0.571396 2.1269433 3.6740804e-4 0.0029731535 5.7683146e-4 0.0034425352 4.1978224e-4 0.0074041937 0.0020278895 0.0015177784 0.08836398 0.010869139 0.6729653 0.03408864 0.005245864 0.02093041 0.0013852561 0.005257861 8.1111764e-4 7.6190254e-4 0.0024540422 2.3607163e-4 2.098911e-4 2.098911e-4 1.83704e-4 0.03408864 0.005245864 0.02093041 0.0013852561 0.005257861 8.1111764e-4 7.6190254e-4 0.0024540422 2.3607163e-4 2.098911e-4 2.098911e-4 1.83704e-4 0.03408864 0.005245864 0.02093041 0.005257861 0.6729653 0.571396 2.1269433 
8 1 18 "1" NA 0 0 1 0 NA 0 12 0 NA NA 72 96 4 500000 NA NA 12 204 8 0 0.93529576 0.06470426 1.0 1.0 0.0058125337 7.4266176 3.1753123 2.8772798e-4 0.006894067 3.2741448e-4 0.003389866 2.0713164e-4 0.0015462631 0.06473391 0.0010430561 0.46049893 0.0018952533 0.05207078 0.037363477 0.0059258994 0.03905102 7.048623e-4 0.012067286 5.479331e-4 7.8112364e-4 0.0058125337 1.0356582e-4 0.0018169028 1.0356582e-4 0.05207078 0.037363477 0.0059258994 0.03905102 7.048623e-4 0.012067286 5.479331e-4 7.8112364e-4 0.0058125337 1.0356582e-4 0.0018169028 1.0356582e-4 0.05207078 0.037363477 0.0059258994 0.03905102 0.012067286 0.0058125337 7.4266176 3.1753123 
8 1 19 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 216 5 0 0.88285214 0.11714788 1.0 1.0 0.056412295 4.1478467 3.6319325 3.5124738e-4 0.056412295 1.2133556e-4 0.14921628 0.0017836628 0.15603387 0.03906914 2.4267114e-4 0.008747116 2.4267114e-4 0.018119197 8.856014e-4 3.5124738e-4 0.056412295 1.2133556e-4 0.14921628 0.0017836628 0.15603387 0.03906914 9.2649006e-4 0.033751007 2.8844023e-4 0.018313328 0.0023717554 2.23745e-4 0.0048582996 2.4267114e-4 0.002226749 2.4267114e-4 3.1283888e-4 0.03906914 9.2649006e-4 0.033751007 2.8844023e-4 0.018313328 0.0023717554 2.23745e-4 0.0048582996 0.002226749 0.056412295 4.1478467 3.6319325 
8 1 20 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 228 4 0 0.8500155 0.14998446 1.0 1.0 0.20206527 2.3071067 4.0346584 0.014363619 0.08140722 2.532058e-4 6.07526e-4 2.532058e-4 0.0035039152 0.029565368 3.3704253e-4 0.011053746 2.9565068e-4 0.20206527 0.08554535 0.014363619 0.08140722 8.963116e-4 0.04171793 0.003025102 0.018605247 0.038990755 1.266029e-4 0.009199891 9.499502e-4 0.017672962 0.003849242 1.8877684e-4 0.08140722 8.963116e-4 0.04171793 0.003025102 0.018605247 0.038990755 1.266029e-4 0.009199891 9.499502e-4 0.017672962 0.003849242 1.8877684e-4 0.08140722 0.04171793 0.20206527 2.3071067 4.0346584 
