"sub","age","sex","yomt","somt","prof","style","trial_No","trial_idx","mel","resp","resp_rt","conf","conf_rt","cond","deviance","dev","acc"
2,29,"m","0","0",1,1,8,11,"3b",1,2.332,7,1.276,"atonal","dev",1,1
2,29,"m","0","0",1,1,9,32,"3a",2,1.533,6,6.388,"tonal","std",2,1
2,29,"m","0","0",1,1,10,30,"2b",2,2.651,6,3.606,"tonal","std",2,1
2,29,"m","0","0",1,1,11,27,"1b",1,1.438,7,1.885,"tonal","dev",1,1
2,29,"m","0","0",1,1,12,29,"2a",1,4.543,7,2.05,"tonal","dev",1,1
2,29,"m","0","0",1,1,13,45,"6a",1,1.453,5,2.367,"tonal","dev",1,1
2,29,"m","0","0",1,1,14,35,"3b",1,1.368,4,4.605,"tonal","dev",1,1
2,29,"m","0","0",1,1,15,9,"3a",1,2.467,3,4.772,"atonal","dev",1,1
2,29,"m","0","0",1,1,16,18,"5b",2,1.461,4,6.906,"atonal","std",2,1
2,29,"m","0","0",1,1,17,6,"2b",2,1.52,5,2.255,"atonal","std",2,1
2,29,"m","0","0",1,1,18,42,"5b",2,4.352,5,2.037,"tonal","std",2,1
2,29,"m","0","0",1,1,19,28,"2a",2,2.667,6,1.267,"tonal","std",2,1
2,29,"m","0","0",1,1,20,26,"1b",2,1.268,6,0.921,"tonal","std",2,1
2,29,"m","0","0",1,1,21,0,"1a",2,1.673,5,1.839,"atonal","std",2,1
2,29,"m","0","0",1,1,22,39,"4b",1,1.403,7,2.218,"tonal","dev",1,1
2,29,"m","0","0",1,1,23,12,"4a",2,5.268,4,1.834,"atonal","std",2,1
2,29,"m","0","0",1,1,24,23,"6b",1,2.052,3,3.085,"atonal","dev",1,1
2,29,"m","0","0",1,1,25,41,"5a",1,3.485,3,1.267,"tonal","dev",1,1
2,29,"m","0","0",1,1,26,36,"4a",2,3.736,6,2.907,"tonal","std",2,1
2,29,"m","0","0",1,1,27,14,"4b",2,1.402,5,1.8,"atonal","std",2,1
2,29,"m","0","0",1,1,28,40,"5a",2,1.752,6,3.334,"tonal","std",2,1
2,29,"m","0","0",1,1,29,3,"1b",1,1.485,7,1.618,"atonal","dev",1,1
2,29,"m","0","0",1,1,30,4,"2a",2,1.528,5,1.521,"atonal","std",2,1
2,29,"m","0","0",1,1,31,20,"6a",2,3.6,4,4.184,"atonal","std",2,1
2,29,"m","0","0",1,1,32,15,"4b",1,3.834,7,1.753,"atonal","dev",1,1
2,29,"m","0","0",1,1,33,25,"1a",1,3.239,6,2.368,"tonal","dev",1,1
2,29,"m","0","0",1,1,34,1,"1a",2,9.701,2,8.517,"atonal","dev",1,0
2,29,"m","0","0",1,1,35,43,"5b",1,1.795,7,2.201,"tonal","dev",1,1
2,29,"m","0","0",1,1,36,19,"5b",1,2.627,7,2.471,"atonal","dev",1,1
2,29,"m","0","0",1,1,37,13,"4a",1,1.508,7,1.487,"atonal","dev",1,1
2,29,"m","0","0",1,1,38,24,"1a",2,2.177,6,1.801,"tonal","std",2,1
2,29,"m","0","0",1,1,39,2,"1b",2,1.535,6,2.618,"atonal","std",2,1
2,29,"m","0","0",1,1,40,10,"3b",2,1.344,6,1.978,"atonal","std",2,1
2,29,"m","0","0",1,1,41,33,"3a",1,1.201,7,1.618,"tonal","dev",1,1
2,29,"m","0","0",1,1,42,46,"6b",2,3.959,7,1.386,"tonal","std",2,1
2,29,"m","0","0",1,1,43,21,"6a",2,7.926,4,1.977,"atonal","dev",1,0
2,29,"m","0","0",1,1,44,44,"6a",2,1.521,5,1.819,"tonal","std",2,1
2,29,"m","0","0",1,1,45,38,"4b",2,1.177,6,2.285,"tonal","std",2,1
2,29,"m","0","0",1,1,46,31,"2b",1,1.138,7,5.454,"tonal","dev",1,1
2,29,"m","0","0",1,1,47,5,"2a",1,2.484,2,6.183,"atonal","dev",1,1
3,22,"f","12","5",2,4,0,17,"5a",2,1.765,5,3.987,"atonal","dev",1,0
3,22,"f","12","5",2,4,1,6,"2b",2,2.702,5,2.581,"atonal","std",2,1
3,22,"f","12","5",2,4,2,40,"5a",2,5.323,3,3.891,"tonal","std",2,1
3,22,"f","12","5",2,4,3,46,"6b",1,3.301,3,2.001,"tonal","std",2,0
3,22,"f","12","5",2,4,4,19,"5b",1,0.921,3,2.574,"atonal","dev",1,1
3,22,"f","12","5",2,4,5,29,"2a",1,2.066,5,1.779,"tonal","dev",1,1
3,22,"f","12","5",2,4,6,4,"2a",2,8.175,3,1.07,"atonal","std",2,1
3,22,"f","12","5",2,4,7,10,"3b",2,1.341,5,1.505,"atonal","std",2,1
3,22,"f","12","5",2,4,8,31,"2b",2,1.103,5,1.358,"tonal","dev",1,0
3,22,"f","12","5",2,4,9,0,"1a",1,2.015,3,1.732,"atonal","std",2,0
3,22,"f","12","5",2,4,10,20,"6a",1,1.174,3,1.598,"atonal","std",2,0
3,22,"f","12","5",2,4,11,44,"6a",2,1.307,5,3.035,"tonal","std",2,1
3,22,"f","12","5",2,4,12,28,"2a",2,1.162,5,1.323,"tonal","std",2,1
3,22,"f","12","5",2,4,13,32,"3a",2,1.257,5,1.095,"tonal","std",2,1
3,22,"f","12","5",2,4,14,18,"5b",2,3.591,5,1.22,"atonal","std",2,1
3,22,"f","12","5",2,4,15,45,"6a",2,0.846,3,1.24,"tonal","dev",1,0
3,22,"f","12","5",2,4,16,13,"4a",1,1.378,3,1.405,"atonal","dev",1,1
3,22,"f","12","5",2,4,17,3,"1b",1,1.147,3,1.444,"atonal","dev",1,1
3,22,"f","12","5",2,4,18,38,"4b",2,0.724,5,1.19,"tonal","std",2,1
3,22,"f","12","5",2,4,19,23,"6b",1,0.836,3,1.123,"atonal","dev",1,1
3,22,"f","12","5",2,4,20,39,"4b",2,1.04,5,0.97,"tonal","dev",1,0
3,22,"f","12","5",2,4,21,22,"6b",1,1.181,3,1.124,"atonal","std",2,0
3,22,"f","12","5",2,4,22,16,"5a",2,3.65,4,1.069,"atonal","std",2,1
3,22,"f","12","5",2,4,23,11,"3b",1,2.962,3,1.056,"atonal","dev",1,1
3,22,"f","12","5",2,4,24,33,"3a",1,1.086,3,11.513,"tonal","dev",1,1
3,22,"f","12","5",2,4,25,43,"5b",1,3.93,3,1.578,"tonal","dev",1,1
3,22,"f","12","5",2,4,26,9,"3a",2,3.286,3,0.409,"atonal","dev",1,0
3,22,"f","12","5",2,4,27,7,"2b",1,0.772,5,1.572,"atonal","dev",1,1
3,22,"f","12","5",2,4,28,12,"4a",2,2.472,3,1.59,"atonal","std",2,1
3,22,"f","12","5",2,4,29,47,"6b",1,1.564,5,1.605,"tonal","dev",1,1
3,22,"f","12","5",2,4,30,37,"4a",2,6.462,3,0.944,"tonal","dev",1,0
3,22,"f","12","5",2,4,31,41,"5a",1,1.344,5,1.254,"tonal","dev",1,1
3,22,"f","12","5",2,4,32,26,"1b",2,2.697,5,1.575,"tonal","std",2,1
3,22,"f","12","5",2,4,33,5,"2a",2,1.662,3,0.57,"atonal","dev",1,0
3,22,"f","12","5",2,4,34,2,"1b",1,3.175,3,1.422,"atonal","std",2,0
3,22,"f","12","5",2,4,35,15,"4b",2,3.142,3,1.039,"atonal","dev",1,0
3,22,"f","12","5",2,4,36,35,"3b",1,2.174,5,0.711,"tonal","dev",1,1
3,22,"f","12","5",2,4,37,25,"1a",1,1.086,5,1.645,"tonal","dev",1,1
3,22,"f","12","5",2,4,38,24,"1a",2,2.197,3,0.819,"tonal","std",2,1
3,22,"f","12","5",2,4,39,21,"6a",2,2.096,3,0.945,"atonal","dev",1,0
3,22,"f","12","5",2,4,40,1,"1a",1,1.069,3,0.936,"atonal","dev",1,1
3,22,"f","12","5",2,4,41,42,"5b",2,1.045,6,1.515,"tonal","std",2,1
3,22,"f","12","5",2,4,42,36,"4a",2,2.324,6,0.711,"tonal","std",2,1
3,22,"f","12","5",2,4,43,14,"4b",2,1.342,5,0.939,"atonal","std",2,1
3,22,"f","12","5",2,4,44,8,"3a",2,4.872,3,1.294,"atonal","std",2,1
3,22,"f","12","5",2,4,45,34,"3b",2,1.509,6,0.886,"tonal","std",2,1
3,22,"f","12","5",2,4,46,30,"2b",2,1.397,5,0.718,"tonal","std",2,1
3,22,"f","12","5",2,4,47,27,"1b",1,0.848,5,1.227,"tonal","dev",1,1
4,25,"m","1","6",1,5,0,43,"5b",1,0.607535,4,3.19973,"tonal","dev",1,1
4,25,"m","1","6",1,5,1,17,"5a",1,2.23636,4,1.188845,"atonal","dev",1,1
4,25,"m","1","6",1,5,2,40,"5a",2,1.39121,7,2.509105,"tonal","std",2,1
4,25,"m","1","6",1,5,3,24,"1a",2,2.28497,5,5.01798,"tonal","std",2,1
4,25,"m","1","6",1,5,4,47,"6b",2,5.929145,5,1.121275,"tonal","dev",1,0
4,25,"m","1","6",1,5,5,45,"6a",1,0.88725,5,1.85438,"tonal","dev",1,1
4,25,"m","1","6",1,5,6,5,"2a",1,0.667345,6,0.858805,"atonal","dev",1,1
4,25,"m","1","6",1,5,7,20,"6a",2,5.889255,4,1.77087,"atonal","std",2,1
4,25,"m","1","6",1,5,8,4,"2a",1,3.245255,3,1.40185,"atonal","std",2,0
4,25,"m","1","6",1,5,9,21,"6a",2,1.52605,6,0.752305,"atonal","dev",1,0
4,25,"m","1","6",1,5,10,46,"6b",2,1.528385,6,0.553175,"tonal","std",2,1
4,25,"m","1","6",1,5,11,29,"2a",1,0.47798,6,0.90984,"tonal","dev",1,1
4,25,"m","1","6",1,5,12,36,"4a",2,1.517765,5,1.935625,"tonal","std",2,1
4,25,"m","1","6",1,5,13,34,"3b",2,2.09951,3,0.85482,"tonal","std",2,1
4,25,"m","1","6",1,5,14,44,"6a",2,2.34988,5,1.3008,"tonal","std",2,1
4,25,"m","1","6",1,5,15,18,"5b",2,2.126045,5,0.70656,"atonal","std",2,1
4,25,"m","1","6",1,5,16,10,"3b",2,2.13019,5,0.31729,"atonal","std",2,1
4,25,"m","1","6",1,5,17,41,"5a",2,0.600625,7,0.651325,"tonal","dev",1,0
4,25,"m","1","6",1,5,18,12,"4a",1,0.87106,2,1.29561,"atonal","std",2,0
4,25,"m","1","6",1,5,19,33,"3a",2,1.456055,6,0.53598,"tonal","dev",1,0
4,25,"m","1","6",1,5,20,38,"4b",2,9.876965,5,3.868185,"tonal","std",2,1
4,25,"m","1","6",1,5,21,8,"3a",1,0.533535,7,0.200815,"atonal","std",2,0
4,25,"m","1","6",1,5,22,26,"1b",2,0.39279,5,2.068065,"tonal","std",2,1
4,25,"m","1","6",1,5,23,32,"3a",2,0.47655,7,0.25446,"tonal","std",2,1
4,25,"m","1","6",1,5,24,22,"6b",1,0.446405,5,1.222945,"atonal","std",2,0
4,25,"m","1","6",1,5,25,30,"2b",2,0.49406,6,0.4954,"tonal","std",2,1
4,25,"m","1","6",1,5,26,23,"6b",1,0.444165,5,0.185065,"atonal","dev",1,1
4,25,"m","1","6",1,5,27,2,"1b",1,4.944835,2,0.25305,"atonal","std",2,0
4,25,"m","1","6",1,5,28,14,"4b",1,0.53559,2,0.195945,"atonal","std",2,0
4,25,"m","1","6",1,5,29,31,"2b",2,3.550295,3,1.65042,"tonal","dev",1,0
4,25,"m","1","6",1,5,30,42,"5b",2,0.768575,4,1.003915,"tonal","std",2,1
4,25,"m","1","6",1,5,31,35,"3b",2,4.29183,4,1.089075,"tonal","dev",1,0
4,25,"m","1","6",1,5,32,6,"2b",1,0.87751,5,1.239885,"atonal","std",2,0
4,25,"m","1","6",1,5,33,19,"5b",2,1.89164,3,0.46713,"atonal","dev",1,0
4,25,"m","1","6",1,5,34,25,"1a",2,3.81159,4,2.6345,"tonal","dev",1,0
4,25,"m","1","6",1,5,35,7,"2b",1,2.222815,4,0.95164,"atonal","dev",1,1
4,25,"m","1","6",1,5,36,37,"4a",2,0.678725,5,1.279375,"tonal","dev",1,0
4,25,"m","1","6",1,5,37,9,"3a",1,0.384465,4,4.017075,"atonal","dev",1,1
4,25,"m","1","6",1,5,38,16,"5a",1,1.877435,3,0.58378,"atonal","std",2,0
4,25,"m","1","6",1,5,39,28,"2a",1,2.84403,2,0.641065,"tonal","std",2,0
4,25,"m","1","6",1,5,40,11,"3b",1,0.918305,3,1.23411,"atonal","dev",1,1
4,25,"m","1","6",1,5,41,13,"4a",1,4.710785,3,0.27149,"atonal","dev",1,1
4,25,"m","1","6",1,5,42,39,"4b",2,0.40096,7,0.15865,"tonal","dev",1,0
4,25,"m","1","6",1,5,43,27,"1b",1,0.36607,7,0.14193,"tonal","dev",1,1
4,25,"m","1","6",1,5,44,15,"4b",2,11.31322,3,0.24214,"atonal","dev",1,0
4,25,"m","1","6",1,5,45,3,"1b",2,3.033925,5,1.078665,"atonal","dev",1,0
