dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.stm.cpitch cpitch.weight.stm.cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.60 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 probability information.content entropy 
28 1 1 "1" NA 0 0 1 0 NA 0 0 0 NA NA 60 96 4 500000 NA NA 12 0 0 1.0 0.090909086 3.4594316 3.4594312 0.090909086 0.090909086 0.090909086 0.090909086 0.090909086 0.090909086 0.090909086 0.090909086 0.090909086 0.090909086 0.090909086 0.090909086 3.4594316 3.4594312 
28 1 2 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 12 0 1.0 0.06060606 4.044394 2.9805846 0.3939394 0.06060606 0.06060606 0.06060606 0.06060606 0.06060606 0.06060606 0.06060606 0.06060606 0.06060606 0.06060606 0.06060606 4.044394 2.9805846 
28 1 3 "1" NA 0 0 1 0 NA 0 12 0 NA NA 63 96 4 500000 NA NA 12 24 0 1.0 0.05660377 4.142958 3.1051767 0.245283 0.05660377 0.05660377 0.245283 0.05660377 0.05660377 0.05660377 0.05660377 0.05660377 0.05660377 0.05660377 0.05660377 4.142958 3.1051767 
28 1 4 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 36 0 1.0 0.1830986 2.4493072 3.2157023 0.1830986 0.056338027 0.1830986 0.1830986 0.056338027 0.056338027 0.056338027 0.056338027 0.056338027 0.056338027 0.056338027 0.1830986 2.4493072 3.2157023 
28 1 5 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 48 1 1.0 0.04081633 4.61471 2.8076837 0.13265307 0.04081633 0.40816334 0.13265307 0.04081633 0.04081633 0.04081633 0.04081633 0.04081633 0.04081633 0.04081633 0.04081633 4.61471 2.8076837 
28 1 6 "1" NA 0 0 1 0 NA 0 12 0 NA NA 66 96 4 500000 NA NA 12 60 0 1.0 0.057471268 4.121015 3.2970777 0.14942528 0.057471268 0.14942528 0.14942528 0.057471268 0.057471268 0.14942528 0.057471268 0.057471268 0.057471268 0.057471268 0.057471268 4.121015 3.2970777 
28 1 7 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 72 0 1.0 0.12871286 2.9577718 3.3553677 0.12871286 0.059405934 0.12871286 0.12871286 0.059405934 0.12871286 0.12871286 0.059405934 0.059405934 0.059405934 0.059405934 0.12871286 2.9577718 3.3553677 
28 1 8 "1" NA 0 0 1 0 NA 0 12 0 NA NA 69 96 4 500000 NA NA 12 84 1 1.0 0.04411765 4.5025 3.0171704 0.09558823 0.04411765 0.09558823 0.09558823 0.04411765 0.35294116 0.09558823 0.04411765 0.04411765 0.04411765 0.04411765 0.04411765 4.5025 3.0171704 
28 1 9 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 96 0 1.0 0.11504423 3.1197395 3.396358 0.11504423 0.06194689 0.11504423 0.11504423 0.06194689 0.11504423 0.11504423 0.06194689 0.11504423 0.06194689 0.06194689 0.11504423 3.1197395 3.396358 
28 1 10 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 108 1 1.0 0.08280255 3.594181 3.1562123 0.08280255 0.04458599 0.08280255 0.08280255 0.04458599 0.22292992 0.08280255 0.04458599 0.22292992 0.04458599 0.04458599 0.08280255 3.594181 3.1562123 
28 1 11 "1" NA 0 0 1 0 NA 0 12 0 NA NA 62 96 4 500000 NA NA 12 120 1 1.0 0.039473683 4.662965 3.1188903 0.078947365 0.039473683 0.22368419 0.11842105 0.039473683 0.078947365 0.22368419 0.039473683 0.078947365 0.039473683 0.039473683 0.039473683 4.662965 3.1188903 
28 1 12 "1" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 132 0 1.0 0.102564104 3.285402 3.3984835 0.102564104 0.102564104 0.102564104 0.14529915 0.059829056 0.102564104 0.102564104 0.059829056 0.102564104 0.059829056 0.059829056 0.102564104 3.285402 3.3984835 
28 1 13 "1" NA 0 0 1 0 NA 0 12 0 NA NA 71 96 4 500000 NA NA 12 144 1 1.0 0.04682274 4.416647 3.1077719 0.080267556 0.080267556 0.080267556 0.33110368 0.04682274 0.080267556 0.080267556 0.04682274 0.080267556 0.04682274 0.04682274 0.04682274 4.416647 3.1077719 
28 1 14 "1" NA 0 0 1 0 NA 0 12 0 NA NA 69 96 4 500000 NA NA 12 156 0 1.0 0.09677418 3.369234 3.4288986 0.09677418 0.09677418 0.09677418 0.12903225 0.06451612 0.09677418 0.09677418 0.06451612 0.09677418 0.06451612 0.09677418 0.09677418 3.369234 3.4288986 
28 1 15 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 168 1 1.0 0.2820513 1.8259705 3.2191696 0.07692307 0.07692307 0.07692307 0.102564104 0.051282052 0.07692307 0.2820513 0.051282052 0.07692307 0.051282052 0.07692307 0.2820513 1.8259705 3.2191696 
28 1 16 "1" NA 0 0 1 0 NA 0 12 0 NA NA 65 96 4 500000 NA NA 12 180 2 0.99999994 0.039603952 4.6582117 3.0382206 0.05940593 0.05940593 0.05940593 0.33663362 0.039603952 0.12376236 0.05940593 0.039603952 0.12376236 0.039603952 0.05940593 0.039603952 4.6582117 3.0382206 
28 1 17 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 192 0 1.0 0.11627907 3.1043367 3.446743 0.093023255 0.093023255 0.093023255 0.11627907 0.093023255 0.093023255 0.093023255 0.06976744 0.093023255 0.06976744 0.093023255 0.11627907 3.1043367 3.446743 
28 1 18 "1" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 204 1 1.0 0.07272728 3.7813594 3.361007 0.07272728 0.14545456 0.14545456 0.0909091 0.07272728 0.07272728 0.14545456 0.054545455 0.07272728 0.054545455 0.07272728 0.07272728 3.7813594 3.361007 
28 1 19 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 216 1 1.0 0.07189542 3.7979562 3.30174 0.091503255 0.07189542 0.07189542 0.19607839 0.07189542 0.07189542 0.07189542 0.05228758 0.07189542 0.05228758 0.17647058 0.07189542 3.7979562 3.30174 
28 1 20 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 228 1 1.0 0.14597544 2.7762024 3.364359 0.08867667 0.068212815 0.068212815 0.14597544 0.12551159 0.12551159 0.08867667 0.047748975 0.12551159 0.047748975 0.068212815 0.14597544 2.7762024 3.364359 
28 1 21 "1" NA 0 0 1 0 NA 0 12 0 NA NA 63 96 4 500000 NA NA 12 240 2 1.0 0.101482324 3.3006997 3.170067 0.118586086 0.27936146 0.101482324 0.074116305 0.05701254 0.05701254 0.118586086 0.039908778 0.05701254 0.039908778 0.05701254 0.101482324 3.3006997 3.170067 
28 1 22 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 252 1 1.0 0.27797836 1.8469555 3.232144 0.093862824 0.07220217 0.07220217 0.27797836 0.07220217 0.07220217 0.093862824 0.050541516 0.07220217 0.050541516 0.07220217 0.27797836 1.8469555 3.232144 
28 1 23 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 264 2 1.0 0.3075965 1.700889 3.0704894 0.11332502 0.09838106 0.14694892 0.06475716 0.049813196 0.049813196 0.3075965 0.03486924 0.049813196 0.03486924 0.049813196 0.3075965 1.700889 3.0704894 
28 1 24 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 276 2 1.0 0.11875693 3.0739164 3.1605282 0.07214205 0.055493888 0.055493888 0.11875693 0.102108754 0.28856826 0.07214205 0.03884572 0.102108754 0.03884572 0.055493888 0.11875693 3.0739164 3.1605282 
28 1 25 "1" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 288 2 1.0 0.11332502 3.1414616 3.124598 0.11332502 0.19551677 0.24408466 0.06475716 0.049813192 0.049813192 0.11332502 0.03486924 0.049813192 0.03486924 0.049813192 0.11332502 3.1414616 3.124598 
28 1 26 "1" NA 0 0 1 0 NA 0 12 0 NA NA 71 96 4 500000 NA NA 12 300 2 1.0 0.11647726 3.1018798 3.0966897 0.073863626 0.056818176 0.056818176 0.13352272 0.056818176 0.056818176 0.3125 0.039772723 0.056818176 0.039772723 0.11647726 0.11647726 3.1018798 3.0966897 
28 1 27 "1" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 312 1 1.0 0.09285714 3.4288433 3.2545238 0.09285714 0.071428575 0.071428575 0.09285714 0.071428575 0.071428575 0.09285714 0.05 0.26428574 0.05 0.071428575 0.09285714 3.4288433 3.2545238 
28 1 28 "1" NA 0 0 1 0 NA 0 12 0 NA NA 62 96 4 500000 NA NA 12 324 1 1.0 0.05681818 4.1375036 3.1896112 0.090909086 0.05681818 0.05681818 0.1590909 0.05681818 0.05681818 0.1590909 0.039772727 0.05681818 0.039772727 0.22727275 0.05681818 4.1375036 3.1896112 
28 1 29 "1" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 336 1 1.0 0.30337083 1.7208457 3.1731396 0.30337083 0.08988764 0.06741573 0.08988764 0.06741573 0.06741573 0.08988764 0.04494382 0.06741573 0.04494382 0.06741573 0.30337083 1.7208457 3.1731396 
28 1 30 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 348 2 1.0 0.11394891 3.133541 3.0319915 0.07858546 0.11394891 0.04715127 0.11394891 0.04715127 0.04715127 0.11394891 0.03143418 0.04715127 0.03143418 0.3280943 0.11394891 3.133541 3.0319915 
28 1 31 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 360 2 1.0 0.10810812 3.209453 2.9226737 0.17567569 0.10810812 0.33783787 0.054054055 0.04054054 0.04054054 0.10810812 0.027027028 0.04054054 0.027027028 0.04054054 0.10810812 3.209453 2.9226737 
