dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpitch cpitch.order.stm.cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpitch cpitch.weight.stm.cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 probability information.content entropy 
29 1 1 "1" NA 0 0 1 0 NA 0 0 0 NA NA 60 96 4 500000 NA NA 12 0 0 0 0.5001398 0.4998602 1.0 1.0 0.08289185 3.5926256 3.584785 0.08289185 0.08253161 0.082371 0.082210064 0.082371 0.08360767 0.084238864 0.08384492 0.083330035 0.08392386 0.083647266 0.08498231 0.08289185 3.5926256 3.584785 
29 1 2 "1" NA 0 0 1 0 NA 0 12 0 NA NA 66 96 4 500000 NA NA 12 12 1 0 0.27941883 0.7205812 1.0 1.0 0.076634414 3.705864 3.4874678 0.20083511 0.07628982 0.075410284 0.073567264 0.070556805 0.073567264 0.076634414 0.0674125 0.071185514 0.07076798 0.07097754 0.07279555 0.076634414 3.705864 3.4874678 
29 1 3 "1" NA 0 0 1 0 NA 0 12 0 NA NA 68 96 4 500000 NA NA 12 24 2 0 0.3293531 0.6706469 1.0 1.0 0.07539365 3.7294133 3.4682744 0.16859974 0.06349952 0.06664077 0.065627515 0.073808 0.06857816 0.16134557 0.06349952 0.07539365 0.06762359 0.06664077 0.058743287 0.07539365 3.7294133 3.4682744 
29 1 4 "1" NA 0 0 1 0 NA 0 12 0 NA NA 70 96 4 500000 NA NA 12 36 3 0 0.53530604 0.46469387 1.0 1.0 0.055639498 4.1677465 3.5033848 0.104607336 0.07714581 0.13107997 0.056711312 0.08973551 0.06027325 0.12001002 0.07129358 0.050234728 0.058971383 0.055639498 0.12429754 0.055639498 4.1677465 3.5033848 
29 1 5 "1" NA 0 0 1 0 NA 0 12 0 NA NA 62 96 4 500000 NA NA 12 48 3 0 0.7456458 0.2543542 1.0 1.0 0.063143626 3.9852192 3.288848 0.06981345 0.28820118 0.063143626 0.063143626 0.08328092 0.062917136 0.08613112 0.07744303 0.052742723 0.078811295 0.024887474 0.04948444 0.063143626 3.9852192 3.288848 
29 1 6 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 60 3 0 0.4994744 0.50052565 1.0 1.0 0.08517157 3.5534842 3.541308 0.1106673 0.059722573 0.04773383 0.09808472 0.08517157 0.08263846 0.101570636 0.06318344 0.10904012 0.06628457 0.10106085 0.074841924 0.08517157 3.5534842 3.541308 
29 1 7 "1" NA 0 0 1 0 NA 0 12 0 NA NA 69 96 4 500000 NA NA 12 72 4 0 0.92558074 0.07441919 1.0 1.0 0.024662986 5.341509 2.6270604 0.090649396 0.042582892 0.027285933 0.4866337 0.008369875 0.02895669 0.029496357 0.12157609 0.038788024 0.024662986 0.05914989 0.041848183 0.024662986 5.341509 2.6270604 
29 1 8 "1" NA 0 0 1 0 NA 0 12 0 NA NA 65 96 4 500000 NA NA 12 84 3 0 0.6375449 0.3624551 1.0 1.0 0.063183844 3.9843004 3.5005565 0.08276922 0.063183844 0.080106296 0.05625025 0.06289162 0.063183844 0.0853843 0.16870499 0.080106296 0.06289162 0.07179338 0.12273436 0.063183844 3.9843004 3.5005565 
29 1 9 "1" NA 0 0 1 0 NA 0 12 0 NA NA 63 96 4 500000 NA NA 12 96 3 0 0.6824506 0.31754944 0.99999994 1.0 0.060299255 4.051716 3.397972 0.05927947 0.062063467 0.120323636 0.060299255 0.08631055 0.032150783 0.1950965 0.14455281 0.07312704 0.04543105 0.052806266 0.06855914 0.060299255 4.051716 3.397972 
29 1 10 "1" NA 0 0 1 0 NA 0 12 0 NA NA 71 96 4 500000 NA NA 12 108 3 0 0.55643904 0.44356093 1.0 1.0 0.07060475 3.824091 3.5327177 0.09764514 0.06676322 0.091632366 0.032656852 0.12919559 0.089987524 0.08700252 0.09115346 0.077509336 0.08547901 0.08037027 0.07060475 0.07060475 3.824091 3.5327177 
29 1 11 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 120 3 0 0.6652561 0.3347439 1.0 1.0 0.065837204 3.924953 3.441468 0.071885906 0.07539448 0.0676049 0.044902593 0.061757866 0.0699864 0.058779623 0.065837204 0.113840096 0.12066932 0.19771999 0.051621713 0.065837204 3.924953 3.441468 
29 1 12 "1" NA 0 0 1 0 NA 0 12 0 NA NA 61 96 4 500000 NA NA 12 132 3 0 0.5987516 0.4012484 1.0 1.0 0.05373628 4.21796 3.5131598 0.080891475 0.05373628 0.070774645 0.08508135 0.06421214 0.06644776 0.11864759 0.061923094 0.08877368 0.14700618 0.107821986 0.05468387 0.05373628 4.21796 3.5131598 
29 1 13 "1" NA 0 0 1 0 NA 0 12 0 NA NA 71 96 4 500000 NA NA 12 144 3 0 0.6134141 0.3865859 1.0 1.0 0.08012235 3.6416514 3.5070727 0.1486591 0.05646238 0.07577372 0.14574617 0.0712617 0.06893702 0.06893702 0.06164269 0.06656185 0.08012235 0.07577372 0.08012235 0.08012235 3.6416514 3.5070727 
