key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,By klicking “OK” below I confirm that I have carefully read the information in the email and I agree to participate in the study*,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,21.137,1,12.759,space,48.736,space,6.423,2,1,17.749,7,9.391,0,0,0,0,1,practice/practice_1_std.wav,2,I confirm,69,f,53,2,12,2021-01-08_16h43.59.747,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,1,2.117,7,10.202,0,1,1,1,1,practice/practice_1_dev.wav,1,I confirm,69,f,53,2,12,2021-01-08_16h43.59.747,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,2,1,4.246,7,6.54,0,2,2,2,1,practice/practice_2_std.wav,2,I confirm,69,f,53,2,12,2021-01-08_16h43.59.747,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,1,2.849,7,7.116,0,3,3,3,1,practice/practice_2_dev.wav,1,I confirm,69,f,53,2,12,2021-01-08_16h43.59.747,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,1,2.429,7,2.258,0,4,4,4,1,practice/practice_3_dev.wav,1,I confirm,69,f,53,2,12,2021-01-08_16h43.59.747,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,2,0,2.932,6,5.815,,,,,,,,I confirm,69,f,53,2,12,2021-01-08_16h43.59.747,exp_mumufe_builder,2020.2.2,Win32,60,space,8.292,0,0,0,32,1,mels/tonal_3a_std.wav
,,,,,,,,1,1,2.532,6,5.932,,,,,,,,I confirm,69,f,53,2,12,2021-01-08_16h43.59.747,exp_mumufe_builder,2020.2.2,Win32,60,,,0,1,1,12,1,mels/atonal_4a_std.wav
,,,,,,,,1,1,2.8,6,3.815,,,,,,,,I confirm,69,f,53,2,12,2021-01-08_16h43.59.747,exp_mumufe_builder,2020.2.2,Win32,60,,,0,2,2,31,1,mels/tonal_2b_dev.wav
,,,,,,,,2,0,5.53,5,3.456,,,,,,,,I confirm,69,f,53,2,12,2021-01-08_16h43.59.747,exp_mumufe_builder,2020.2.2,Win32,60,,,0,3,3,24,1,mels/tonal_1a_std.wav
,,,,,,,,1,1,6.866,5,15.215,,,,,,,,I confirm,69,f,53,2,12,2021-01-08_16h43.59.747,exp_mumufe_builder,2020.2.2,Win32,60,,,0,4,4,43,1,mels/tonal_5b_dev.wav
