key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,4.241,1,8.247,space,39.869,space,2.955,2,1,2.545,6,3.459,0,0,0,0,1,practice/practice_1_std.wav,2,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,1.348,6,2.149,0,1,1,1,1,practice/practice_1_dev.wav,1,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,1,1.488,5,4.768,0,2,2,2,1,practice/practice_2_std.wav,2,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,2.049,5,1.954,0,3,3,3,1,practice/practice_2_dev.wav,1,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,1.254,5,2.633,0,4,4,4,1,practice/practice_3_dev.wav,1,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,1.314,5,1.981,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,space,4.208,0,0,0,3,1,mels/atonal_1b_dev.wav
,,,,,,,,2,0,1.766,4,1.46,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,1,1,36,1,mels/tonal_4a_std.wav
,,,,,,,,1,1,1.05,6,1.233,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,2,2,27,1,mels/tonal_1b_dev.wav
,,,,,,,,1,1,2.416,4,1.268,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,3,3,35,1,mels/tonal_3b_dev.wav
,,,,,,,,2,0,1.233,6,1.249,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,4,4,38,1,mels/tonal_4b_std.wav
,,,,,,,,2,0,1.816,5,1.651,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,5,5,26,1,mels/tonal_1b_std.wav
,,,,,,,,1,1,2.12,5,2.552,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,6,6,13,1,mels/atonal_4a_dev.wav
,,,,,,,,2,0,3.316,3,1.903,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,7,7,1,1,mels/atonal_1a_dev.wav
,,,,,,,,2,0,1.549,4,1.151,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,8,8,33,1,mels/tonal_3a_dev.wav
,,,,,,,,2,0,3.032,3,1.567,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,9,9,47,1,mels/tonal_6b_dev.wav
,,,,,,,,2,0,2.633,6,2.053,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,10,10,19,1,mels/atonal_5b_dev.wav
,,,,,,,,2,0,1.401,6,1.067,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,11,11,34,1,mels/tonal_3b_std.wav
,,,,,,,,1,1,1.149,5,1.082,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,12,12,17,1,mels/atonal_5a_dev.wav
,,,,,,,,2,0,1.332,4,1.066,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,13,13,10,1,mels/atonal_3b_std.wav
,,,,,,,,1,1,1.617,3,1.385,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,14,14,39,1,mels/tonal_4b_dev.wav
,,,,,,,,1,1,4.014,2,1.283,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,15,15,25,1,mels/tonal_1a_dev.wav
,,,,,,,,1,1,1.566,2,1.066,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,16,16,21,1,mels/atonal_6a_dev.wav
,,,,,,,,1,1,2.547,2,1.249,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,17,17,7,1,mels/atonal_2b_dev.wav
,,,,,,,,2,0,2.671,5,1.282,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,18,18,42,1,mels/tonal_5b_std.wav
,,,,,,,,1,1,1.233,4,1.132,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,19,19,37,1,mels/tonal_4a_dev.wav
,,,,,,,,2,0,2.136,4,1.039,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,20,20,14,1,mels/atonal_4b_std.wav
,,,,,,,,2,0,1.767,5,1.282,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,21,21,16,1,mels/atonal_5a_std.wav
,,,,,,,,2,0,1.566,5,2.205,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,22,22,2,1,mels/atonal_1b_std.wav
,,,,,,,,2,0,1.267,5,1.152,,,,,,,,1,f,34,0,N/A,2020-10-29_17h00.21.895,exp_mumufe_builder,2020.2.3,Win32,60,,,0,23,23,32,1,mels/tonal_3a_std.wav
