key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,8.249,1,5.484,space,22.121,space,2.204,2,1,1.701,7,3.718,0,0,0,0,1,practice/practice_1_std.wav,2,20,m,34,0,0,2020-11-04_17h56.33.740,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,2.183,7,1.936,0,1,1,1,1,practice/practice_1_dev.wav,1,20,m,34,0,0,2020-11-04_17h56.33.740,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,1,2.036,7,2.152,0,2,2,2,1,practice/practice_2_std.wav,2,20,m,34,0,0,2020-11-04_17h56.33.740,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,0.925,7,0.869,0,3,3,3,1,practice/practice_2_dev.wav,1,20,m,34,0,0,2020-11-04_17h56.33.740,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,1.536,5,2.005,0,4,4,4,1,practice/practice_3_dev.wav,1,20,m,34,0,0,2020-11-04_17h56.33.740,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,4.569,4,2.469,,,,,,,,20,m,34,0,0,2020-11-04_17h56.33.740,exp_mumufe_builder,2020.2.3,Win32,60,space,2.151,0,0,0,25,1,mels/tonal_1a_dev.wav
,,,,,,,,2,0,2.07,4,1.003,,,,,,,,20,m,34,0,0,2020-11-04_17h56.33.740,exp_mumufe_builder,2020.2.3,Win32,60,,,0,1,1,20,1,mels/atonal_6a_std.wav
,,,,,,,,1,1,3.971,4,1.083,,,,,,,,20,m,34,0,0,2020-11-04_17h56.33.740,exp_mumufe_builder,2020.2.3,Win32,60,,,0,2,2,21,1,mels/atonal_6a_dev.wav
,,,,,,,,2,0,0.786,4,1.441,,,,,,,,20,m,34,0,0,2020-11-04_17h56.33.740,exp_mumufe_builder,2020.2.3,Win32,60,,,0,3,3,11,1,mels/atonal_3b_dev.wav
,,,,,,,,1,1,0.905,4,0.368,,,,,,,,20,m,34,0,0,2020-11-04_17h56.33.740,exp_mumufe_builder,2020.2.3,Win32,60,,,0,4,4,7,1,mels/atonal_2b_dev.wav
,,,,,,,,2,0,0.584,4,0.387,,,,,,,,20,m,34,0,0,2020-11-04_17h56.33.740,exp_mumufe_builder,2020.2.3,Win32,60,,,0,5,5,40,1,mels/tonal_5a_std.wav
,,,,,,,,2,0,0.569,4,0.636,,,,,,,,20,m,34,0,0,2020-11-04_17h56.33.740,exp_mumufe_builder,2020.2.3,Win32,60,,,0,6,6,12,1,mels/atonal_4a_std.wav
,,,,,,,,2,0,3.884,2,1.637,,,,,,,,20,m,34,0,0,2020-11-04_17h56.33.740,exp_mumufe_builder,2020.2.3,Win32,60,,,0,7,7,9,1,mels/atonal_3a_dev.wav
,,,,,,,,2,0,2.436,1,1.67,,,,,,,,20,m,34,0,0,2020-11-04_17h56.33.740,exp_mumufe_builder,2020.2.3,Win32,60,,,0,8,8,22,1,mels/atonal_6b_std.wav
